Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4, C6",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,3,10uF,
"C10, C11, C12, C13, C5, C7, C8, C9",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,8,0.1uF,
"C2, C3",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2,47pF,
"D1, D3",BZX84C3V6,2,3v6,
"D2, D4, D5, D6, D7",LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,5,Green,
J1,USB_B,1,USB_B_RS485,
J2,USB_B,1,USB_B_UART,
J3,Screwterminal_3mm81_4pos,1,UART,
J4,Screwterminal_3mm81_4pos,1,RS485,
L1,0805_PInductor,1,2.2uH,
"R1, R2, R7",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,3,27R,
"R10, R11, R3, R6, R9",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,5,3k3,
R4,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,1k,
R5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,10k,
R8,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,0R (DNM),
U1,SOT-23-5_HandSoldering,1,LM3671MF-3.3/NOPB,
"U2, U3",SSOP-20_3.9x8.7mm_P0.635mm,2,FT231XS,
"U4, U5",74LV1T34GV-Q100H,2,74LV1T34-Q100,
U6,SOIC-8_3.9x4.9mm_P1.27mm,1,SP3485EN,
