Designator,Mid X,Mid Y,Rotation,Layer
C1,152.91,-136.7225,-90.0,top
C10,167.89,-130.95,180.0,top
C11,170.03,-142.0,0.0,top
C12,177.2,-136.56,180.0,top
C13,146.535,-146.3675,90.0,top
C2,177.86,-131.82,-90.0,top
C3,180.03,-131.83,-90.0,top
C4,171.13,-131.83,-90.0,top
C5,134.76,-137.78,-90.0,top
C6,157.23,-135.03,-90.0,top
C7,139.16,-137.9025,-90.0,top
C8,138.28,-134.8525,180.0,top
C9,158.14,-138.53,180.0,top
D1,161.61,-133.32,0.0,top
D2,155.42,-148.88,90.0,top
D3,136.605,-142.1075,0.0,top
D4,165.12,-148.88,90.0,top
D5,160.27,-148.88,90.0,top
D6,174.81,-148.87,90.0,top
D7,169.96,-148.9,90.0,top
J1,175.07,-124.1,180.0,top
J2,142.07,-124.1,180.0,top
J3,125.1,-135.16,90.0,top
J4,191.97,-135.16,-90.0,top
L1,157.52,-131.52,0.0,top
R1,173.39,-131.82,-90.0,top
R10,158.4,-143.0,-90.0,top
R11,155.96,-143.04,-90.0,top
R2,175.6,-131.82,-90.0,top
R3,147.5,-149.96,0.0,top
R4,140.055,-144.2175,90.0,top
R5,169.62,-137.35,90.0,top
R6,152.645,-142.6175,-90.0,top
R7,184.31,-133.33,0.0,top
R8,184.34,-135.49,180.0,top
R9,150.185,-142.6375,-90.0,top
U1,152.68,-132.48,0.0,top
U2,144.5,-137.4125,180.0,top
U3,163.89,-140.6,0.0,top
U4,144.325,-144.3475,180.0,top
U5,135.31,-147.19,-90.0,top
U6,176.35,-140.42,0.0,top
